12/03/2019 11:14:00 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:14:00 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:14:00 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:14:00 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:14:10 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:14:10 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:14:10 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:14:10 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:14:10 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:14:10 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:14:10 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:14:16 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:14:16 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:14:16 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:14:16 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:14:16 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:14:16 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:14:16 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:17:19 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:17:19 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:17:19 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:17:19 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:17:19 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:17:19 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:17:19 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:18:25 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:18:25 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:18:25 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:18:25 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:18:25 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:18:25 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:18:25 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:19:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:19:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:19:02 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:19:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:19:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:19:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:19:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:19:32 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:19:32 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:19:32 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:19:32 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:19:32 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:19:32 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:19:32 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:22:36 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:22:36 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:22:36 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:22:36 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:22:36 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:22:36 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:22:36 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:23:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:23:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
